Date,Open,High,Low,Close,Adj Close,Volume
2000-01-12,34.6618,34.6618,33.632198,34.547401,29.16227,31018
2000-01-14,34.638901,34.638901,33.174599,33.174599,28.003454,10697
2000-01-17,34.3186,34.3186,33.174599,33.4034,28.19659,18435
2000-01-24,32.1451,32.1451,31.801901,31.801901,26.844725,15957
2000-01-25,31.801901,31.9849,31.0926,31.2299,26.361889,38477
2000-01-28,31.5502,31.9163,30.2003,31.5502,26.632261,36778
2000-02-02,29.514,31.115499,29.170799,30.8867,26.072186,85213
2000-02-09,31.778999,32.030701,30.8867,31.115499,26.26532,69293
2000-02-11,29.7656,30.841,29.514,29.7428,25.106594,25051
2000-02-23,29.2852,30.2003,29.2852,29.9715,25.299646,89147
2000-02-28,26.997299,27.477699,26.997299,27.226101,22.982189,13300
2000-03-10,26.0821,26.3109,24.892401,25.167,21.244053,19656
2000-03-14,25.8533,26.5397,25.8533,26.5397,22.402781,36766
2000-03-16,26.5397,27.226101,26.5397,26.5397,22.402781,176865
2000-03-17,27.454901,29.2852,26.3109,26.768499,22.810789,38228
2000-03-24,30.680799,31.001101,29.857201,30.8638,26.300604,17552
2000-03-31,29.7428,30.8638,29.7428,29.7428,25.345339,9846
2000-04-03,29.9944,32.4883,29.9944,32.4883,27.684917,21893
2000-04-11,27.431999,27.431999,26.196501,26.7456,22.791277,42893
2000-04-18,28.141199,29.125,28.141199,28.759001,24.506998,20577
2000-05-05,29.2852,29.514,29.0564,29.514,25.150368,9575
2000-05-08,29.7428,29.7428,29.170799,29.399599,25.052883,11428
2000-05-10,29.9715,30.337601,29.857201,29.879999,25.462257,26463
2000-05-11,29.7428,29.7428,28.598801,28.8505,24.584969,15047
2000-05-16,29.7428,29.7428,28.941999,29.628401,25.24786,10048
2000-05-29,27.935301,27.935301,25.8533,25.8533,22.030903,35837
2000-05-31,25.967699,26.5397,24.7094,26.3109,22.420847,38110
2000-06-05,27.226101,27.226101,25.967699,25.967699,22.128387,39846
2000-06-14,26.768499,26.768499,25.967699,25.967699,22.128387,11442
2000-06-16,25.8533,26.0821,25.2813,26.0821,22.225872,15174
2000-06-29,24.7094,24.7094,22.879,23.451,19.983782,15692
2000-06-30,24.023001,24.228901,22.879,22.879,19.496351,33698
2000-07-13,24.0459,24.251801,23.8857,24.251801,20.666183,58580
2000-07-24,24.9382,24.9382,24.9382,24.9382,21.251099,0
2000-08-03,24.251801,24.4806,23.6798,23.794201,20.276241,25792
2000-08-09,24.251801,24.251801,24.251801,24.251801,20.666183,0
