Date,Open,High,Low,Close,Adj Close,Volume
2012-01-17,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-18,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-19,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-20,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-23,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-24,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-25,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-26,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-27,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-30,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-01-31,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-02-01,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-02-02,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-02-03,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-02-06,51.750000,51.750000,51.750000,51.750000,43.860500,0
2012-02-07,57.250000,57.250000,57.250000,57.250000,48.522003,300
2012-02-08,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-09,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-10,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-13,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-14,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-15,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-16,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-17,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-21,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-22,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-23,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-24,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-27,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-28,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-02-29,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-01,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-02,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-05,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-06,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-07,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-08,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-09,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-12,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-13,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-14,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-15,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-16,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-19,57.250000,57.250000,57.250000,57.250000,48.522003,0
2012-03-20,55.900002,56.230000,55.900002,56.230000,47.657509,6800
2012-03-21,56.230000,56.230000,56.230000,56.230000,47.657509,0
2012-03-22,53.990002,53.990002,53.990002,53.990002,45.759007,200
2012-03-23,55.599998,55.599998,55.599998,55.599998,47.123554,300
2012-03-26,55.599998,55.599998,55.599998,55.599998,47.123554,0
2012-03-27,55.599998,55.599998,55.599998,55.599998,47.123554,0
2012-03-28,55.599998,55.599998,55.599998,55.599998,47.123554,0
2012-03-29,55.599998,55.599998,55.599998,55.599998,47.123554,0
