Date,Open,High,Low,Close,Adj Close,Volume
2008-05-20,1.34,1.34,1.34,1.34,1.34,100.0
2008-05-21,1.34,1.34,1.34,1.34,1.34,1716670.0
2008-05-22,1.33,1.33,1.33,1.33,1.33,0.0
2008-05-23,1.35,1.35,1.35,1.35,1.35,146.0
2008-05-26,1.32,1.32,1.32,1.32,1.32,100.0
2008-05-27,1.34,1.34,1.34,1.34,1.34,115.0
2008-05-28,1.28,1.28,1.28,1.28,1.28,500.0
2008-05-29,1.28,1.28,1.28,1.28,1.28,400.0
2008-05-30,1.26,1.26,1.26,1.26,1.26,8.0
2008-06-02,1.24,1.24,1.24,1.24,1.24,97.0
2008-06-03,1.27,1.27,1.27,1.27,1.27,4.0
2008-06-04,1.27,1.27,1.27,1.27,1.27,470.0
2008-06-05,1.26,1.26,1.26,1.26,1.26,23.0
2008-06-06,1.26,1.26,1.26,1.26,1.26,0.0
2008-06-09,1.26,1.26,1.26,1.26,1.26,900.0
2008-06-10,1.22,1.22,1.22,1.22,1.22,6020.0
2008-06-11,1.23,1.23,1.23,1.23,1.23,0.0
2008-06-12,1.23,1.23,1.23,1.23,1.23,2.0
2008-06-13,1.19,1.19,1.19,1.19,1.19,216.0
2008-06-16,1.18,1.18,1.18,1.18,1.18,10000.0
2008-06-17,1.2,1.2,1.2,1.2,1.2,609.0
2008-06-18,1.2,1.2,1.2,1.2,1.2,570.0
2008-06-19,1.21,1.21,1.21,1.21,1.21,1.0
2008-06-20,1.2,1.2,1.2,1.2,1.2,4020.0
2008-06-23,1.21,1.21,1.21,1.21,1.21,1000.0
2008-06-24,1.17,1.17,1.17,1.17,1.17,17.0
2008-06-25,1.12,1.12,1.12,1.12,1.12,25000.0
2008-06-26,1.18,1.18,1.18,1.18,1.18,40000.0
2008-06-27,1.18,1.18,1.18,1.18,1.18,119.0
2008-06-30,1.14,1.14,1.14,1.14,1.14,20000.0
2008-07-01,1.15,1.15,1.15,1.15,1.15,86150.0
2008-07-02,1.15,1.15,1.15,1.15,1.15,400.0
2008-07-03,1.13,1.13,1.13,1.13,1.13,2500.0
2008-07-04,1.14,1.14,1.14,1.14,1.14,50.0
2008-07-07,1.11,1.11,1.11,1.11,1.11,20.0
2008-07-08,1.12,1.12,1.12,1.12,1.12,0.0
2008-07-09,1.12,1.12,1.12,1.12,1.12,0.0
2008-07-10,1.12,1.12,1.12,1.12,1.12,0.0
2008-07-11,1.12,1.12,1.12,1.12,1.12,0.0
2008-07-14,1.15,1.15,1.15,1.15,1.15,0.0
2008-07-15,1.12,1.12,1.12,1.12,1.12,0.0
2008-07-16,1.11,1.11,1.11,1.11,1.11,0.0
2008-07-17,1.11,1.11,1.11,1.11,1.11,0.0
2008-07-18,1.14,1.14,1.14,1.14,1.14,0.0
2008-07-21,1.14,1.14,1.14,1.14,1.14,0.0
2008-07-22,1.14,1.14,1.14,1.14,1.14,0.0
2008-07-23,1.14,1.14,1.14,1.14,1.14,0.0
2008-07-24,1.2,1.2,1.2,1.2,1.2,0.0
2008-07-25,1.17,1.17,1.17,1.17,1.17,0.0
2008-07-28,1.13,1.13,1.13,1.13,1.13,0.0
2008-08-18,1.19,1.19,1.19,1.19,1.19,0.0
2008-08-19,1.22,1.22,1.22,1.22,1.22,0.0
2008-08-20,1.2,1.2,1.2,1.2,1.2,0.0
2008-08-21,1.24,1.24,1.24,1.24,1.24,0.0
2008-08-22,1.18,1.18,1.18,1.18,1.18,0.0
2008-08-25,1.19,1.19,1.19,1.19,1.19,0.0
2008-08-26,1.19,1.19,1.19,1.19,1.19,0.0
2008-08-27,1.18,1.18,1.18,1.18,1.18,0.0
2008-08-28,1.19,1.19,1.19,1.19,1.19,0.0
2008-08-29,1.18,1.18,1.18,1.18,1.18,0.0
2008-09-01,1.2,1.2,1.2,1.2,1.2,0.0
2008-09-02,1.2,1.2,1.2,1.2,1.2,0.0
2008-09-03,1.22,1.22,1.22,1.22,1.22,0.0
2008-09-04,1.22,1.22,1.22,1.22,1.22,0.0
2008-09-05,1.22,1.22,1.22,1.22,1.22,0.0
2008-09-08,1.19,1.19,1.19,1.19,1.19,0.0
2008-09-09,1.18,1.18,1.18,1.18,1.18,0.0
2008-09-10,1.2,1.2,1.2,1.2,1.2,0.0
2008-09-11,1.16,1.16,1.16,1.16,1.16,0.0
2008-09-12,1.16,1.16,1.16,1.16,1.16,0.0
2008-09-15,1.18,1.18,1.18,1.18,1.18,0.0
2008-09-16,1.15,1.15,1.15,1.15,1.15,0.0
2008-09-17,1.13,1.13,1.13,1.13,1.13,0.0
2008-09-18,1.09,1.09,1.09,1.09,1.09,0.0
2008-09-19,1.1,1.1,1.1,1.1,1.1,0.0
2008-09-22,1.13,1.13,1.13,1.13,1.13,0.0
2008-09-23,1.08,1.08,1.08,1.08,1.08,0.0
2008-09-24,1.09,1.09,1.09,1.09,1.09,0.0
2008-09-25,1.06,1.06,1.06,1.06,1.06,0.0
2008-09-26,1.06,1.06,1.06,1.06,1.06,0.0
2008-09-29,1.04,1.04,1.04,1.04,1.04,0.0
2008-09-30,0.941,0.941,0.941,0.941,0.941,0.0
2008-10-01,0.99,0.99,0.99,0.99,0.99,0.0
2008-10-02,1.01,1.01,1.01,1.01,1.01,0.0
2008-10-03,1.0,1.0,1.0,1.0,1.0,0.0
2008-10-06,0.972,0.972,0.972,0.972,0.972,0.0
2008-10-07,0.927,0.927,0.927,0.927,0.927,0.0
2008-10-08,0.881,0.881,0.881,0.881,0.881,0.0
2008-10-09,0.833,0.833,0.833,0.833,0.833,0.0
2008-10-10,0.794,0.794,0.794,0.794,0.794,0.0
2008-10-13,0.813,0.813,0.813,0.813,0.813,0.0
2008-10-14,0.882,0.882,0.882,0.882,0.882,0.0
2008-10-15,0.794,0.794,0.794,0.794,0.794,0.0
2008-10-16,0.784,0.784,0.784,0.784,0.784,0.0
2008-10-17,0.774,0.774,0.774,0.774,0.774,0.0
2008-10-20,0.825,0.825,0.825,0.825,0.825,0.0
2008-10-21,0.833,0.833,0.833,0.833,0.833,0.0
2008-10-22,0.804,0.804,0.804,0.804,0.804,0.0
2008-10-23,0.789,0.789,0.789,0.789,0.789,0.0
2008-10-24,0.784,0.784,0.784,0.784,0.784,0.0
2008-10-27,0.781,0.781,0.781,0.781,0.781,0.0
2008-10-28,0.698,0.698,0.698,0.698,0.698,0.0
2008-10-29,0.767,0.767,0.767,0.767,0.767,0.0
2008-10-30,0.715,0.715,0.715,0.715,0.715,0.0
2008-10-31,0.681,0.681,0.681,0.681,0.681,0.0
2008-11-03,0.689,0.689,0.689,0.689,0.689,0.0
2008-11-04,0.687,0.687,0.687,0.687,0.687,0.0
2008-11-05,0.804,0.804,0.804,0.804,0.804,0.0
2008-11-06,0.713,0.713,0.713,0.713,0.713,0.0
2008-11-07,0.706,0.722,0.706,0.722,0.722,0.0
2008-11-10,0.715,0.715,0.715,0.715,0.715,0.0
2008-11-11,0.745,0.745,0.745,0.745,0.745,0.0
2008-11-12,0.737,0.737,0.737,0.737,0.737,0.0
2008-11-13,0.767,0.767,0.767,0.767,0.767,0.0
