Close,CloseTarget,MACD,MACDTarget,Stochastics,StochasticsTarget,ATR,ATRTarget
7.97,8.2,-0.000395504,0.0083054633,58.1818181818,100,0.14,0.33
8.2,8.08,0.0083054633,0.0029143283,100,78.1818181818,0.33,0.19
8.08,8.11,0.0029143283,-0.0014820901,78.1818181818,83.6363636364,0.19,0.09
8.11,8.2,-0.0014820901,-0.0007296415,83.6363636364,100,0.09,0.12
8.2,8.2,-0.0007296415,-0.0028278603,100,100,0.12,0.24
8.2,8.31,-0.0028278603,0.0010278553,100,100,0.24,0.22
8.31,8.6,0.0010278553,0.0218754783,100,100,0.22,0.59
8.6,8.71,0.0218754783,0.0410969807,100,100,0.59,0.16
8.71,8.66,0.0410969807,0.0470289312,100,95.2830188679,0.16,0.16
8.66,8.84,0.0470289312,0.0598543952,95.2830188679,100,0.16,0.24
8.84,8.95,0.0598543952,0.0720394362,100,100,0.24,0.2
8.95,9.1,0.0720394362,0.086173143,100,100,0.2,0.45
9.1,9.08,0.086173143,0.088930079,100,98.2300884956,0.45,0.23
9.08,9.14,0.088930079,0.0892178044,98.2300884956,100,0.23,0.12
9.14,9.48,0.0892178044,0.107751616,100,100,0.12,0.43
9.48,9.64,0.107751616,0.1255170994,100,100,0.43,0.57
9.64,9.69,0.1255170994,0.1341351981,100,100,0.57,0.15
9.69,9.55,0.1341351981,0.1222369009,100,90.6040268456,0.15,0.25
9.55,9.27,0.1222369009,0.0860626096,90.6040268456,69.5652173913,0.25,0.3
9.27,9.13,0.0860626096,0.043876368,69.5652173913,48.623853211,0.3,0.25
9.13,9.14,0.043876368,0.009514635,48.623853211,46.6019417476,0.25,0.3
9.14,9.1,0.009514635,-0.0218334693,46.6019417476,42.7184466019,0.3,0.17
9.1,9.07,-0.0218334693,-0.0493135749,42.7184466019,27.0588235294,0.17,0.18
9.07,8.93,-0.0493135749,-0.0810297336,27.0588235294,0,0.18,0.17
8.93,9,-0.0810297336,-0.0995532289,0,9.2105263158,0.17,0.17
9,9,-0.0995532289,-0.1130948074,9.2105263158,9.2105263158,0.17,0.15
9,8.9,-0.1130948074,-0.1297413504,9.2105263158,0,0.15,0.12
8.9,8.94,-0.1297413504,-0.1378478689,0,5.0632911392,0.12,0.12
8.94,8.99,-0.1378478689,-0.1387989075,5.0632911392,11.3924050633,0.12,0.12
8.99,8.99,-0.1387989075,-0.138105361,11.3924050633,11.3924050633,0.12,0.18
8.99,9.06,-0.138105361,-0.1310916103,11.3924050633,24.6153846154,0.18,0.15
9.06,8.85,-0.1310916103,-0.1397970135,24.6153846154,0,0.15,0.33
8.85,9,-0.1397970135,-0.1333047246,0,51.724137931,0.33,0.4
9,8.91,-0.1333047246,-0.1333811807,51.724137931,20.6896551724,0.4,0.53
8.91,9.2,-0.1333811807,-0.1106543112,20.6896551724,100,0.53,0.45
9.2,8.99,-0.1106543112,-0.1083430023,100,40,0.45,0.54
8.99,8.87,-0.1083430023,-0.1139163372,40,5.7142857143,0.54,0.13
8.87,8.68,-0.1139163372,-0.1297671662,5.7142857143,0,0.13,0.22
8.68,8.35,-0.1297671662,-0.1622622342,0,0,0.22,0.33
8.35,8.46,-0.1622622342,-0.1736831956,0,12.9411764706,0.33,0.4
8.46,8.24,-0.1736831956,-0.1933734132,12.9411764706,0,0.4,0.46
8.24,8.42,-0.1933734132,-0.1893287612,0,18.75,0.46,0.3
8.42,8.47,-0.1893287612,-0.1777943501,18.75,23.9583333333,0.3,0.17
8.47,8.7,-0.1777943501,-0.1482213693,23.9583333333,47.9166666667,0.17,0.75
8.7,8.77,-0.1482213693,-0.1181905049,47.9166666667,55.2083333333,0.75,0.1
8.77,8.34,-0.1181905049,-0.1245570075,55.2083333333,10.4166666667,0.1,0.48
8.34,8.38,-0.1245570075,-0.1225003341,10.4166666667,14.5833333333,0.48,0.4
8.38,8.29,-0.1225003341,-0.123763429,14.5833333333,5.2083333333,0.4,0.28
8.29,8.21,-0.123763429,-0.1264681126,5.2083333333,0,0.28,0.16
8.21,8.26,-0.1264681126,-0.1206256922,0,7.5757575758,0.16,0.09
8.26,8.23,-0.1206256922,-0.1145489326,7.5757575758,3.5714285714,0.09,0.15
8.23,8.25,-0.1145489326,-0.1047806024,3.5714285714,7.1428571429,0.15,0.1
8.25,8.15,-0.1047806024,-0.1012168081,7.1428571429,0,0.1,0.17
8.15,8.02,-0.1012168081,-0.1041802043,0,0,0.17,0.16
8.02,7.98,-0.1041802043,-0.1050713609,0,0,0.16,0.11
7.98,8.02,-0.1050713609,-0.0986096165,0,5.0632911392,0.11,0.12
8.02,7.85,-0.0986096165,-0.1021337313,5.0632911392,0,0.12,0.17
7.85,8,-0.1021337313,-0.089496155,0,16.3043478261,0.17,0.15
8,8.15,-0.089496155,-0.0657637701,16.3043478261,56.6037735849,0.15,0.29
8.15,8.37,-0.0657637701,-0.0298648409,56.6037735849,98.1132075472,0.29,0.34
8.37,8.28,-0.0298648409,-0.0087546532,98.1132075472,82.6923076923,0.34,0.11
8.28,8.44,-0.0087546532,0.0192125566,82.6923076923,100,0.11,0.23
8.44,8.44,0.0192125566,0.0396134404,100,100,0.23,0.15
8.44,8.41,0.0396134404,0.0518291479,100,94.9152542373,0.15,0.18
8.41,8.43,0.0518291479,0.0614141285,94.9152542373,98.3050847458,0.18,0.2
8.43,8.46,0.0614141285,0.0694862224,98.3050847458,100,0.2,0.11
8.46,8.55,0.0694862224,0.0804624544,100,100,0.11,0.17
8.55,8.53,0.0804624544,0.0851471386,100,97.1428571429,0.17,0.15
8.53,8.43,0.0851471386,0.0794053891,97.1428571429,82.8571428571,0.15,0.13
8.43,8.39,0.0794053891,0.0707120656,82.8571428571,77.1428571429,0.13,0.12
8.39,8.42,0.0707120656,0.0651599393,77.1428571429,76.3636363636,0.12,0.11
8.42,8.35,0.0651599393,0.0547461989,76.3636363636,50,0.11,0.1
8.35,8.45,0.0547461989,0.053379394,50,62.962962963,0.1,0.19
8.45,8.35,0.053379394,0.0440156822,62.962962963,25.9259259259,0.19,0.3
8.35,8.58,0.0440156822,0.0529540037,25.9259259259,100,0.3,0.23
8.58,8.56,0.0529540037,0.0565033692,100,91.3043478261,0.23,0.08
8.56,8.61,0.0565033692,0.0611008134,91.3043478261,100,0.08,0.09
8.61,8.54,0.0611008134,0.0576055893,100,73.0769230769,0.09,0.14
8.54,8.5,0.0576055893,0.0506037196,73.0769230769,57.6923076923,0.14,0.25
8.5,8.72,0.0506037196,0.0599616064,57.6923076923,100,0.25,0.43
8.72,9.11,0.0599616064,0.0926933998,100,100,0.43,0.52
9.11,9.5,0.0926933998,0.1407567297,100,100,0.52,0.41
9.5,9.16,0.1407567297,0.145526517,100,70.4347826087,0.41,0.58
9.16,8.85,0.145526517,0.1216046078,70.4347826087,43.4782608696,0.58,0.47
8.85,8.75,0.1216046078,0.0931530195,43.4782608696,34.7826086957,0.47,0.33
8.75,9.1,0.0931530195,0.0946167869,34.7826086957,65.2173913043,0.33,0.43
9.1,8.89,0.0946167869,0.0768150923,65.2173913043,46.9565217391,0.43,0.49
8.89,8.98,0.0768150923,0.0674477126,46.9565217391,48,0.49,0.22
8.98,8.9,0.0674477126,0.0520445263,48,40,0.22,0.15
8.9,8.87,0.0520445263,0.0364072512,40,37,0.15,0.25
8.87,8.79,0.0364072512,0.0174726495,37,29,0.25,0.25
8.79,8.96,0.0174726495,0.0147459857,29,46,0.25,0.2
8.96,9,0.0147459857,0.0141848688,46,35.8974358974,0.2,0.14
9,8.92,0.0141848688,0.0065370993,35.8974358974,22.6666666667,0.14,0.43
8.92,8.88,0.0065370993,-0.0029992936,22.6666666667,17.3333333333,0.43,0.16
8.88,9.09,-0.0029992936,0.0043890148,17.3333333333,82.9268292683,0.16,0.22
9.09,9.07,0.0043890148,0.0069578402,82.9268292683,91.4285714286,0.22,0.33
9.07,9.25,0.0069578402,0.0203973836,91.4285714286,100,0.33,0.29
9.25,9.15,0.0203973836,0.0209475353,100,78.2608695652,0.29,0.21
9.15,9.2,0.0209475353,0.0231368139,78.2608695652,89.1304347826,0.21,0.18
9.2,9.15,0.0231368139,0.0192061781,89.1304347826,78.2608695652,0.18,0.24
9.15,9.15,0.0192061781,0.0146534952,78.2608695652,78.2608695652,0.24,0.17
9.15,9.13,0.0146534952,0.0083548639,78.2608695652,73.9130434783,0.17,0.11
9.13,9.1,0.0083548639,0.0002986274,73.9130434783,67.3913043478,0.11,0.14
9.1,8.99,0.0002986274,-0.0144838098,67.3913043478,29.7297297297,0.14,0.26
8.99,9.48,-0.0144838098,0.0095560292,29.7297297297,100,0.26,0.61
9.48,9.35,0.0095560292,0.0156797655,100,78.3333333333,0.61,0.21
9.35,9.25,0.0156797655,0.0111109281,78.3333333333,61.6666666667,0.21,0.27
9.25,9.42,0.0111109281,0.0185201918,61.6666666667,87.7551020408,0.27,0.19
9.42,9.58,0.0185201918,0.0334000773,87.7551020408,100,0.19,0.17
9.58,10,0.0334000773,0.0717015106,100,100,0.17,0.49
10,9.96,0.0717015106,0.0921886363,100,96.0396039604,0.49,0.13
9.96,10.15,0.0921886363,0.1158684313,96.0396039604,100,0.13,0.32
10.15,10.17,0.1158684313,0.1287067023,100,100,0.32,0.15
10.17,10.21,0.1287067023,0.1347798777,100,100,0.15,0.22
10.21,10.38,0.1347798777,0.1450687426,100,100,0.22,0.21
10.38,10.13,0.1450687426,0.1276827396,100,82.0143884892,0.21,0.25
10.13,10.04,0.1276827396,0.1026788447,82.0143884892,75.5395683453,0.25,0.22
10.04,10.36,0.1026788447,0.1024200867,75.5395683453,98.2300884956,0.22,0.32
10.36,10.49,0.1024200867,0.1058603367,98.2300884956,100,0.32,0.41
10.49,10.71,0.1058603367,0.1181399868,100,100,0.41,0.23
10.71,10.49,0.1181399868,0.1045363438,100,82.9457364341,0.23,0.22
10.49,10.51,0.1045363438,0.0902273756,82.9457364341,82.3008849558,0.22,0.2
10.51,10.77,0.0902273756,0.0930055904,82.3008849558,100,0.2,0.26
10.77,10.98,0.0930055904,0.1040480776,100,100,0.26,0.22
10.98,11,0.1040480776,0.1068059852,100,100,0.22,0.15
11,10.92,0.1068059852,0.0963329974,100,91.6666666667,0.15,0.27
10.92,11,0.0963329974,0.0882421107,91.6666666667,100,0.27,0.18
11,10.58,0.0882421107,0.046091086,100,56.25,0.18,0.43
10.58,10.56,0.046091086,0.0099337095,56.25,54.1666666667,0.43,0.24
10.56,10.46,0.0099337095,-0.026598547,54.1666666667,43.75,0.24,0.28
10.46,10.7,-0.026598547,-0.0377888728,43.75,53.125,0.28,0.34
10.7,10.45,-0.0377888728,-0.0658892403,53.125,0,0.34,0.27
10.45,10.32,-0.0658892403,-0.0963262334,0,0,0.27,0.2
10.32,10.13,-0.0963262334,-0.131637557,0,0,0.2,0.25
10.13,10.1,-0.131637557,-0.1576219718,0,0,0.25,0.15
10.1,10.65,-0.1576219718,-0.1343799369,0,61.1111111111,0.15,0.55
10.65,10.6,-0.1343799369,-0.1200923527,61.1111111111,55.5555555556,0.55,0.13
10.6,9.96,-0.1200923527,-0.1547968208,55.5555555556,0,0.13,0.79
9.96,10.09,-0.1547968208,-0.1674811306,0,12.5,0.79,0.13
10.09,10,-0.1674811306,-0.1798376741,12.5,3.8461538462,0.13,0.11
10,10.18,-0.1798376741,-0.1719792591,3.8461538462,29.7297297297,0.11,0.18
10.18,10.41,-0.1719792591,-0.1463317283,29.7297297297,60.8108108108,0.18,0.4
10.41,10.31,-0.1463317283,-0.1324845206,60.8108108108,47.2972972973,0.4,0.26
10.31,10.06,-0.1324845206,-0.1380181528,47.2972972973,13.5135135135,0.26,0.25
10.06,10.15,-0.1380181528,-0.1324736483,13.5135135135,27.5362318841,0.25,0.18
10.15,10.1,-0.1324736483,-0.1291948708,27.5362318841,20.2898550725,0.18,0.11
10.1,10.1,-0.1291948708,-0.1238813689,20.2898550725,20.2898550725,0.11,0.08
10.1,10.04,-0.1238813689,-0.1214691902,20.2898550725,11.5942028986,0.08,0.15
10.04,10.11,-0.1214691902,-0.1117080263,11.5942028986,21.7391304348,0.15,0.13
10.11,10.31,-0.1117080263,-0.0876157171,21.7391304348,54.6875,0.13,0.31
10.31,10.35,-0.0876157171,-0.0655742031,54.6875,86.6666666667,0.31,0.3
10.35,10.43,-0.0655742031,-0.0427355583,86.6666666667,100,0.3,0.22
10.43,10.48,-0.0427355583,-0.0221687332,100,100,0.22,0.18
10.48,10.67,-0.0221687332,0.0062164499,100,100,0.18,0.31
10.67,10.56,0.0062164499,0.0176632939,100,82.5396825397,0.31,0.14
10.56,10.77,0.0176632939,0.0397554118,82.5396825397,100,0.14,0.21
10.77,10.8,0.0397554118,0.0556804966,100,100,0.21,0.14
10.8,9.58,0.0556804966,-0.0230581614,100,0,0.14,1.3
9.58,9.05,-0.0230581614,-0.1164696975,0,0,1.3,0.61
9.05,8.83,-0.1164696975,-0.1948577014,0,0,0.61,0.28
8.83,8.98,-0.1948577014,-0.2333647569,0,7.614213198,0.28,0.32
8.98,8.95,-0.2333647569,-0.2551790499,7.614213198,6.0913705584,0.32,0.1
8.95,8.74,-0.2551790499,-0.2771590111,6.0913705584,0,0.1,0.24
8.74,8.69,-0.2771590111,-0.2867514046,0,0,0.24,0.17
8.69,8.85,-0.2867514046,-0.2718991874,0,7.5829383886,0.17,0.2
8.85,9.02,-0.2718991874,-0.2392564972,7.5829383886,15.6398104265,0.2,0.19
9.02,9.01,-0.2392564972,-0.2077612528,15.6398104265,15.1658767773,0.19,0.13
9.01,8.92,-0.2077612528,-0.1835869061,15.1658767773,10.9004739336,0.13,0.15
8.92,8.87,-0.1835869061,-0.1622650951,10.9004739336,8.5308056872,0.15,0.12
8.87,9.02,-0.1622650951,-0.12909115,8.5308056872,15.6398104265,0.12,0.22
