Close,CloseTarget,MACD,Stochastics,ATR
8.02,7.98,-0.1041802043,0,0.16
7.98,8.02,-0.1050713609,0,0.11
8.02,7.85,-0.0986096165,5.0632911392,0.12
7.85,8,-0.1021337313,0,0.17
8,8.15,-0.089496155,16.3043478261,0.15
8.15,8.37,-0.0657637701,56.6037735849,0.29
8.37,8.28,-0.0298648409,98.1132075472,0.34
8.28,8.44,-0.0087546532,82.6923076923,0.11
8.44,8.44,0.0192125566,100,0.23
8.44,8.41,0.0396134404,100,0.15
8.41,8.43,0.0518291479,94.9152542373,0.18
8.43,8.46,0.0614141285,98.3050847458,0.2
8.46,8.55,0.0694862224,100,0.11
8.55,8.53,0.0804624544,100,0.17
8.53,8.43,0.0851471386,97.1428571429,0.15
8.43,8.39,0.0794053891,82.8571428571,0.13
8.39,8.42,0.0707120656,77.1428571429,0.12
8.42,8.35,0.0651599393,76.3636363636,0.11
8.35,8.45,0.0547461989,50,0.1
8.45,8.35,0.053379394,62.962962963,0.19
8.35,8.58,0.0440156822,25.9259259259,0.3
8.58,8.56,0.0529540037,100,0.23
8.56,8.61,0.0565033692,91.3043478261,0.08
8.61,8.54,0.0611008134,100,0.09
8.54,8.5,0.0576055893,73.0769230769,0.14
8.5,8.72,0.0506037196,57.6923076923,0.25
8.72,9.11,0.0599616064,100,0.43
9.11,9.5,0.0926933998,100,0.52
9.5,9.16,0.1407567297,100,0.41
9.16,8.85,0.145526517,70.4347826087,0.58
8.85,8.75,0.1216046078,43.4782608696,0.47
8.75,9.1,0.0931530195,34.7826086957,0.33
9.1,8.89,0.0946167869,65.2173913043,0.43
8.89,8.98,0.0768150923,46.9565217391,0.49
8.98,8.9,0.0674477126,48,0.22
8.9,8.87,0.0520445263,40,0.15
8.87,8.79,0.0364072512,37,0.25
8.79,8.96,0.0174726495,29,0.25
8.96,9,0.0147459857,46,0.2
9,8.92,0.0141848688,35.8974358974,0.14
8.92,8.88,0.0065370993,22.6666666667,0.43
8.88,9.09,-0.0029992936,17.3333333333,0.16
9.09,9.07,0.0043890148,82.9268292683,0.22
9.07,9.25,0.0069578402,91.4285714286,0.33
9.25,9.15,0.0203973836,100,0.29
9.15,9.2,0.0209475353,78.2608695652,0.21
9.2,9.15,0.0231368139,89.1304347826,0.18
9.15,9.15,0.0192061781,78.2608695652,0.24
9.15,9.13,0.0146534952,78.2608695652,0.17
9.13,9.1,0.0083548639,73.9130434783,0.11
9.1,8.99,0.0002986274,67.3913043478,0.14
8.99,9.48,-0.0144838098,29.7297297297,0.26
9.48,9.35,0.0095560292,100,0.61
9.35,9.25,0.0156797655,78.3333333333,0.21
9.25,9.42,0.0111109281,61.6666666667,0.27
9.42,9.58,0.0185201918,87.7551020408,0.19
9.58,10,0.0334000773,100,0.17
10,9.96,0.0717015106,100,0.49
9.96,10.15,0.0921886363,96.0396039604,0.13
10.15,10.17,0.1158684313,100,0.32
10.17,10.21,0.1287067023,100,0.15
10.21,10.38,0.1347798777,100,0.22
10.38,10.13,0.1450687426,100,0.21
10.13,10.04,0.1276827396,82.0143884892,0.25
10.04,10.36,0.1026788447,75.5395683453,0.22
10.36,10.49,0.1024200867,98.2300884956,0.32
10.49,10.71,0.1058603367,100,0.41
10.71,10.49,0.1181399868,100,0.23
10.49,10.51,0.1045363438,82.9457364341,0.22
10.51,10.77,0.0902273756,82.3008849558,0.2
10.77,10.98,0.0930055904,100,0.26
10.98,11,0.1040480776,100,0.22
11,10.92,0.1068059852,100,0.15
10.92,11,0.0963329974,91.6666666667,0.27
11,10.58,0.0882421107,100,0.18
10.58,10.56,0.046091086,56.25,0.43
10.56,10.46,0.0099337095,54.1666666667,0.24
10.46,10.7,-0.026598547,43.75,0.28
10.7,10.45,-0.0377888728,53.125,0.34
10.45,10.32,-0.0658892403,0,0.27
10.32,10.13,-0.0963262334,0,0.2
10.13,10.1,-0.131637557,0,0.25
10.1,10.65,-0.1576219718,0,0.15
10.65,10.6,-0.1343799369,61.1111111111,0.55
10.6,9.96,-0.1200923527,55.5555555556,0.13
9.96,10.09,-0.1547968208,0,0.79
10.09,10,-0.1674811306,12.5,0.13
10,10.18,-0.1798376741,3.8461538462,0.11
10.18,10.41,-0.1719792591,29.7297297297,0.18
10.41,10.31,-0.1463317283,60.8108108108,0.4
10.31,10.06,-0.1324845206,47.2972972973,0.26
10.06,10.15,-0.1380181528,13.5135135135,0.25
10.15,10.1,-0.1324736483,27.5362318841,0.18
10.1,10.1,-0.1291948708,20.2898550725,0.11
10.1,10.04,-0.1238813689,20.2898550725,0.08
10.04,10.11,-0.1214691902,11.5942028986,0.15
10.11,10.31,-0.1117080263,21.7391304348,0.13
10.31,10.35,-0.0876157171,54.6875,0.31
10.35,10.43,-0.0655742031,86.6666666667,0.3
10.43,10.48,-0.0427355583,100,0.22
10.48,10.67,-0.0221687332,100,0.18
10.67,10.56,0.0062164499,100,0.31
10.56,10.77,0.0176632939,82.5396825397,0.14
10.77,10.8,0.0397554118,100,0.21
10.8,9.58,0.0556804966,100,0.14
9.58,9.05,-0.0230581614,0,1.3
9.05,8.83,-0.1164696975,0,0.61
8.83,8.98,-0.1948577014,0,0.28
8.98,8.95,-0.2333647569,7.614213198,0.32
8.95,8.74,-0.2551790499,6.0913705584,0.1
8.74,8.69,-0.2771590111,0,0.24
8.69,8.85,-0.2867514046,0,0.17
8.85,9.02,-0.2718991874,7.5829383886,0.2
9.02,9.01,-0.2392564972,15.6398104265,0.19
9.01,8.92,-0.2077612528,15.1658767773,0.13
8.92,8.87,-0.1835869061,10.9004739336,0.15
8.87,9.02,-0.1622650951,8.5308056872,0.12
9.02,8.89,-0.12909115,15.6398104265,0.22
8.89,8.65,-0.1085739241,22.4719101124,0.26
8.65,8.64,-0.1054096937,0,0.25
8.64,8.64,-0.0979495712,0,0.18
8.64,8.7,-0.0868687657,0,0.11
8.7,8.58,-0.0691818019,15.7894736842,0.21
8.58,8.66,-0.0602452572,0,0.26
8.66,8.42,-0.0433364047,18.1818181818,0.13
8.42,8.33,-0.0442705675,0,0.26
8.33,8.27,-0.046936854,0,0.24
8.27,8.28,-0.0485320964,0,0.18
8.28,8.27,-0.0442402647,1.3333333333,0.15
8.27,8.19,-0.0373197196,0,0.07
8.19,8.21,-0.0337495324,0,0.12
8.21,8.22,-0.0254377494,2.8571428571,0.1
8.22,8.21,-0.0147367126,5.8823529412,0.07
8.21,8.54,-0.0041115066,3.9215686275,0.06
8.54,8.72,0.030536133,68.6274509804,0.34
8.72,8.68,0.0702130725,100,0.39
8.68,8.7,0.0962953818,92.4528301887,0.26
8.7,8.55,0.1161574318,96.2264150943,0.08
8.55,8.4,0.1186621254,67.9245283019,0.24
8.4,7.16,0.1087125081,39.6226415094,0.24
7.16,7.04,0.0119181865,0,1.29
7.04,7.01,-0.0626275176,0,0.19
7.01,7,-0.1125735186,0,0.08
7,6.96,-0.1420156702,0,0.15
6.96,6.96,-0.1580525197,0,0.05
6.96,6.96,-0.1610732837,0,0.04
6.96,7.02,-0.1546360902,0,0.08
7.02,6.98,-0.1372513119,3.4090909091,0.08
6.98,7.29,-0.1197248859,1.1363636364,0.04
7.29,7.3,-0.0773931844,18.9655172414,0.31
7.3,7.35,-0.0403716027,19.5402298851,0.27
7.35,7.3,-0.0053578493,24.5283018868,0.13
7.3,7.27,0.0199494984,23.6111111111,0.12
7.27,7.3,0.0390182207,79.4871794872,0.05
7.3,7.17,0.0573426787,87.1794871795,0.12
7.17,7.35,0.0630050957,53.8461538462,0.16
7.35,7.35,0.0817430789,100,0.25
7.35,7.45,0.096086874,100,0.08
7.45,7.46,0.1139444959,100,0.14
7.46,7.47,0.1271186106,100,0.06
7.47,7.52,0.1364250171,100,0.07
